,Comuna,Barrio,Ciudad,Pais
0,2,RECOLETA,CABA,Argentina
1,6,CABALLITO,CABA,Argentina
2,10,FLORESTA ,CABA,Argentina
2,10, MONTE CASTRO ,CABA,Argentina
2,10, VELEZ SARSFIELD, BARRIO,Argentina
2,10, VERSALLES ,CABA,Argentina
2,10, VILLA LURO ,CABA,Argentina
2,10, VILLA REAL,CABA,Argentina
3,11,VILLA DEL PARQUE ,CABA,Argentina
3,11, VILLA  DEVOTO ,CABA,Argentina
3,11, VILLA GRAL. MITRE ,CABA,Argentina
3,11, VILLA SANTA RITA,CABA,Argentina
4,12,COGHLAN ,CABA,Argentina
4,12, SAAVEDRA ,CABA,Argentina
4,12, VILLA PUEYRREDON ,CABA,Argentina
4,12, VILLA URQUIZA,CABA,Argentina
5,14,PALERMO,CABA,Argentina
6,15,AGRONOMIA ,CABA,Argentina
6,15, CHACARITA ,CABA,Argentina
6,15,  PARQUE CHAS ,CABA,Argentina
6,15,  PATERNAL ,CABA,Argentina
6,15, VILLA CRESPO ,CABA,Argentina
6,15, VILLA ORTUZAR,CABA,Argentina
7,13,BELGRANO ,CABA,Argentina
7,13, COLEGIALES ,CABA,Argentina
7,13, NUÑEZ,CABA,Argentina
8,4,BARRACAS ,CABA,Argentina
8,4, BOCA ,CABA,Argentina
8,4, NUEVA POMPEYA ,CABA,Argentina
8,4, PARQUE PATRICIOS,CABA,Argentina
9,5,ALMAGRO ,CABA,Argentina
9,5, BOEDO,CABA,Argentina
10,7,FLORES ,CABA,Argentina
10,7, PARQUE CHACABUCO,CABA,Argentina
11,3,BALVANERA ,CABA,Argentina
11,3, SAN CRISTOBAL,CABA,Argentina
12,9,LINIERS ,CABA,Argentina
12,9, MATADEROS ,CABA,Argentina
12,9, PARQUE AVELLANEDA,CABA,Argentina
13,8,VILLA LUGANO ,CABA,Argentina
13,8, VILLA RIACHUELO ,CABA,Argentina
13,8, VILLA SOLDATI,CABA,Argentina
14,1,CONSTITUCION ,CABA,Argentina
14,1, MONTSERRAT ,CABA,Argentina
14,1, PUERTO MADERO ,CABA,Argentina
14,1, RETIRO ,CABA,Argentina
14,1, SAN NICOLAS ,CABA,Argentina
14,1, SAN TELMO,CABA,Argentina
